size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
50000,chaining,insert,3,45,0.000616333,0,"load_factor=0.7000;collisions=11081;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,open_addressing,insert,3,45,0.000915041,0,"load_factor=0.7000;total_probes=108216;max_cluster=118","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,chaining,insert,4,46,0.000636272,0,"load_factor=0.7000;collisions=11220;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,open_addressing,insert,4,46,0.000925830,0,"load_factor=0.7000;total_probes=109908;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,chaining,insert,0,42,0.000766100,0,"load_factor=0.7000;collisions=13325;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,open_addressing,insert,0,42,0.001245459,0,"load_factor=0.7000;total_probes=127238;max_cluster=72","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,chaining,insert,1,43,0.000867703,0,"load_factor=0.7000;collisions=13350;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,open_addressing,insert,1,43,0.001402190,0,"load_factor=0.7000;total_probes=128790;max_cluster=117","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,chaining,insert,2,44,0.000780483,0,"load_factor=0.7000;collisions=13426;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,open_addressing,insert,2,44,0.001165853,0,"load_factor=0.7000;total_probes=132725;max_cluster=159","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,chaining,insert,3,45,0.000774602,0,"load_factor=0.7000;collisions=13405;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,open_addressing,insert,3,45,0.001111740,0,"load_factor=0.7000;total_probes=130739;max_cluster=114","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,chaining,insert,4,46,0.000806944,0,"load_factor=0.7000;collisions=13410;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
60000,open_addressing,insert,4,46,0.001112721,0,"load_factor=0.7000;total_probes=131663;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
70000,chaining,insert,0,42,0.001018490,0,"load_factor=0.7000;collisions=15476;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
70000,open_addressing,insert,0,42,0.001268832,0,"load_factor=0.7000;total_probes=148094;max_cluster=87","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
